Confirmed,Deaths,States,Recovered,Date,Id
100025,5426,New Jersey,,23-Apr,34
2379,78,New Mexico,547,23-Apr,35
263460,20973,New York,23887,23-Apr,36
7820,281,North Carolina,,23-Apr,37
709,15,North Dakota,269,23-Apr,38
14,2,Northern Mariana Islands,11,23-Apr,69
14694,656,Ohio,,23-Apr,39
3017,179,Oklahoma,1884,23-Apr,40
2127,83,Oregon,,23-Apr,41
38379,1724,Pennsylvania,,23-Apr,42
1416,69,Puerto Rico,,23-Apr,72
6256,189,Rhode Island,342,23-Apr,44
4917,150,South Carolina,3317,23-Apr,45
1956,9,South Dakota,1064,23-Apr,46
8266,171,Tennessee,4193,23-Apr,47
22650,604,Texas,8025,23-Apr,48
3612,35,Utah,1050,23-Apr,49
825,43,Vermont,1710,23-Apr,50
54,3,Virgin Islands,48,23-Apr,78
10998,373,Virginia,1567,23-Apr,51
12753,711,Washington,,23-Apr,53
981,31,West Virginia,380,23-Apr,54
5052,258,Wisconsin,,23-Apr,55
453,7,Wyoming,275,23-Apr,56
6026,209,Alabama,,24-Apr,1
339,9,Alaska,208,24-Apr,2
0,0,American Samoa,,24-Apr,60
6045,266,Arizona,1313,24-Apr,4
2810,47,Arkansas,929,24-Apr,5
41355,1621,California,,24-Apr,6
12256,674,Colorado,,24-Apr,8
23936,1767,Connecticut,,24-Apr,9
3442,100,Delaware,703,24-Apr,10
3528,153,District of Columbia,651,24-Apr,11
30533,1046,Florida,,24-Apr,12
22491,899,Georgia,,24-Apr,13
141,5,Guam,126,24-Apr,66
601,13,Hawaii,463,24-Apr,15
1870,54,Idaho,867,24-Apr,16
