Province_State,Confirmed,Deaths,Recovered,date
Xinjiang,76,3,73,19-Apr
Yukon,9,0,0,19-Apr
Yunnan,184,2,178,19-Apr
Zhejiang,1268,1,1247,19-Apr
Grand Princess,13,0,0,19-Apr
Alabama,5079,163,,20-Apr
Alaska,321,9,161,20-Apr
American Samoa,0,0,,20-Apr
Arizona,5068,191,1155,20-Apr
Arkansas,1973,41,749,20-Apr
California,33686,1225,,20-Apr
Colorado,9730,420,,20-Apr
Connecticut,19815,1331,,20-Apr
Delaware,2745,72,495,20-Apr
Diamond Princess,49,0,0,20-Apr
District of Columbia,2927,105,630,20-Apr
Florida,27059,822,,20-Apr
Georgia,19407,775,,20-Apr
Grand Princess,103,0,0,20-Apr
Guam,136,5,112,20-Apr
Hawaii,584,10,414,20-Apr
Idaho,1672,45,585,20-Apr
Illinois,31513,1349,,20-Apr
Indiana,11688,577,,20-Apr
Iowa,3159,79,1235,20-Apr
Kansas,2048,102,,20-Apr
Kentucky,3050,154,1174,20-Apr
Louisiana,24523,1328,,20-Apr
Maine,875,35,414,20-Apr
Maryland,13684,582,917,20-Apr
Massachusetts,38077,1706,,20-Apr
Michigan,32000,2468,3237,20-Apr
Minnesota,2470,143,1202,20-Apr
Mississippi,4512,169,,20-Apr
Missouri,5890,200,,20-Apr
Montana,433,10,243,20-Apr
Nebraska,1648,33,,20-Apr
Nevada,3830,159,,20-Apr
New Hampshire,1447,42,521,20-Apr
New Jersey,88722,4496,,20-Apr
New Mexico,1971,58,487,20-Apr
New York,253060,18611,23887,20-Apr
North Carolina,6895,218,,20-Apr
North Dakota,627,9,189,20-Apr
Northern Mariana Islands,14,2,11,20-Apr
Ohio,12919,509,,20-Apr
Oklahoma,2680,143,1614,20-Apr
Oregon,1957,75,,20-Apr
Pennsylvania,33914,1348,,20-Apr
Puerto Rico,1252,63,,20-Apr
Rhode Island,5090,155,267,20-Apr
South Carolina,4446,123,2063,20-Apr
South Dakota,1685,7,709,20-Apr
Tennessee,7238,152,3575,20-Apr
Texas,19751,507,5706,20-Apr
Utah,3213,28,776,20-Apr
Vermont,816,38,15,20-Apr
Virgin Islands,53,3,48,20-Apr
Virginia,8990,300,1324,20-Apr
Washington,12114,643,,20-Apr
West Virginia,902,24,290,20-Apr
Wisconsin,4499,230,,20-Apr
Wyoming,317,2,233,20-Apr
Recovered,0,0,72329,20-Apr
Alabama,5317,183,,21-Apr
Alaska,329,9,168,21-Apr
American Samoa,0,0,,21-Apr
Arizona,5256,208,1155,21-Apr
Arkansas,1990,42,809,21-Apr
